제목,시간,날짜,별점,리뷰제목,리뷰내용,연수분야,가격,대상,label
한국어교원양성과정 Ⅰ,30차시,2024-01-08,3,교사로서의 나를 되돌아보게 하는 연수,"30년 가까이 교사로서 학생들을 지도해오다, 퇴직 후에 어떤 일을 하면 더욱 뜻깊을 지를 고민하던 참에 결혼이주여성에게 한국어를 가르치는 봉사를 하면 좋겠다는 생각으로 이 연수를 수강하게 되었습니다. _x000D_
이 연수에는 총 네분의 강사분이 수업을 하시는데 강사에 따라 강의의 질이 너무 현격히 차이가 났습니다. _x000D_
한국어문법론을 강의하신 분은 매 차시 수업 시작부터 끝까지 완벽하게 수업을 준비하셨음이 느껴졌고 강의력 또한 탁월하셨습니다. 외국인 학습자에게 한국어를 가르치는 교사로서 반드시 알아야할 점들을 짚어주시는 점도 이 강의의 목적에 부합하였습니다._x000D_
반면 한국어화용론을 강의하신 분은 ppt 자료를 그대로 읽어줄 뿐인데다가 자료의 글도 화용론 영어원서를 직역해놓은 듯하여 무슨 의미인지 도통 와닿지 않아 아쉬움이 너무 컸습니다.(참고로 저는 영어화용론을 바탕으로 석사논문을 썼습니다. 25년 전이라 공부했던 걸 모두 잊었을지도 모르겠군요.)_x000D_
가능하다면 화용론 부분은 다시 강의 영상을 찍어 업로드하는 것이 좋으리라 생각이 듭니다!!!!!!!!!_x000D_
_x000D_
이 연수를 받고나서 저는 본래의 연수 목적을 잊은 채  ‘교사로서의 자신을 되돌아보게’ 되는 성찰의 시간을 얻었습니다.  ‘나는 학생들에게 어떤 교사인가? 학생들로 하여금 공부에 재미와 성취를 갖게 이끄는 교사인가? 아니면 동기유발은커녕 그들이 가졌던 조그만 흥미까지 사그라지게 만드는 교사인가?’   _x000D_
",자기계발,"75,000원",전체대상,0
"질문하는 공부법, 하브루타로 생각하고 실행하기",60차시,2024-02-25,5,살아가면서 많은 곳에서 유용한 공부가 하브루타 실행입니다.,"짝활동이라고 생각하고 자세히 알면 좋겠다는 생각, 짝토론을 수준있게 이끌어주고 싶은 마음에서 다시 공부했습니다. 반복되는 방법을 60시간 연수받으면서 단순한듯 보이기도 하고 접근하기 쉽게 스며드는 매력을 충분히 느꼈습니다. 타인과 이야기하며 살아가는 모든 곳에서 필요한 공부라는 생각을 하였습니다.",학습지도,"130,000원",전체대상,1
학급 관리부터 업무까지 한 방에! 교사를 위한 노션 활용법,15차시,2024-04-24,5,노션활용 추천합니다,"대학에서는 노션 활용이 활성화되어있는데_x000D_
노션의 편리함에 비해 초등에서는 덜 쓰이는 것 같아서 아쉬웠어요_x000D_
이번 연수를 통해 초등맞춤으로 노션을 활용하게 되어서 좋아요 다른 선생님들께도 이 연ㄴㅅ누 추천합니다",ICT,"50,000원",전체대상,1
"핸드메이드 감성 소품, 리본공예",15차시,2024-01-13,5,끈기가 필요한 연수,"다양한 생활상의 소품을 직접 만들어볼 수 있었다는 점이 큰 매력이었다고 생각됩니다. 단, 생각보다 시간이 많이 걸리고 인내심 발휘가 필요하다고 봅니다.",자기계발,"50,000원",전체대상,1
교실을 탈출한 '진짜'영어. 대츠잇!(왕초보편),10차시,2024-04-23,5,교실을 탈출한 진짜 영어,재미있고 새롭네요~,어학,무료,전체대상,1
디지털 드로잉으로 학급경영하기,30차시,2023-12-25,5,연수 추천해요~~^^,"아이패드 유저는 프로크리에이트 어플을 사용해서 드로잉을 할 수 있구요~_x000D_
안드로이드 유저의 경우 메디방을 배울 수 있어요. _x000D_
두 선생님께서 몇회차씩 각각 프로크리에이트와 메디방 수업을 하시는데요~_x000D_
_x000D_
프로크리에이트 선생님은 남자이신데 친절하셔서 기초부터 따라 가면서_x000D_
기본적인 방법과 기술을 익히기에 좋아서 재미있게 보았고_x000D_
메디방 수업 선생님은 여자이신데 그림체가 예쁘고 따라 하고 싶은 기술이 많이 있었어요. ~_x000D_
_x000D_
저같은 경우 프로크리에이트를 배우려는 목적이 컸는데 메디방도 쓸 수 있어서_x000D_
양쪽으로 도움이 되었습니다._x000D_
_x000D_
학급경영에 도움을 받을 수 있을 것 같아요~~ ",학급경영,"75,000원",전체대상,1
ON! 일상을 그린 반려식물 가이드,15차시,2024-03-17,5,반려식물 키우기,"  평소에 식물 키우기가 취미인지라 유튜브에서도 식물관련 내용이 나오면 관심을 가지곤 했다. 한 때는 허브 키우기에 많은 시간을 보냈고 주말 농장을 한 두 해 하며 농작물을 가꿔도 보고 밭에 심어 보고 싶었던 많은 것을 키워보며 시행착오도 해보았다. 정말 농사 일은 너무 힘들구나를 느끼며 내가 사먹는 모든 과일과 채소를 가꿔주시는 분들께 감사한 마음도 더욱 깊어지기도 했다. _x000D_
  가랑코에라는 꽃에 대한 첫인상은 별로 좋지 않아서 '저런 꽃을 왜 키우나'라고 생각한 적도 있었는데 어느 날 보니 그 꽃이 예뻐보여서 키우고 싶다는 생각을 하게 되었다. 일반적인 꽃은 아무리 길어도 일주일 정도면 꽃이 지는데 가랑코에는 그 예쁘고 화려한 꽃을 두 달 이상을 보여주고도 끄떡 없이 우리 집 베란다를 환하게 해줘서 고맙기 그지없는 꽃이 되었다. 한 때는 정말 싫어했던 꽃이 정을 붙이고 예뻐하니 가장 좋아하는 꽃 중에 하나가 된 것이 특별한 경험이었다._x000D_
  그 밖에도 많은 식물을 기르면서 벌레와의 싸움도 많이 하면서 어떤 식물을 우리 집에서 키울 수 있을까해서 우리 집 베란다에서 살아남은 것들은 벌레가 잘 생기지 않는 것들이다. 가랑코에, 장미 허브, 염좌나무, 페퍼민트, 스피아민트, 산세베리아. _x000D_
  이번 연수를 들으면서도 다른 분의 식물을 잘 키우는 노하우를 들을 수 있어서 좋았다. 내가 몰랐던 새로운 도구나 식물을 키우는 데 도움이 되는 정보들은 새로운 자극이 된다. 연수를 들으면서 몬스테리아를 키워보고 싶은 마음이 들었는데 우연히 듣게된 어느 유튜버는 집에서 키우면 안 되는 식물 중 하나를 몬스테리아라고 해서 생각을 유보하기로 했다. _x000D_
  식물 하나를 키우는 것도 생명을 다루는 것이라 정성이 필요하다. 식물에 관심있는 사람이라면 이런 연수를 통해 식물을 가꾸고 정서적인 안정을 갖는 것도 도움이 될 것이라 생각한다. 추가 구성품으로 선택한 화분과 씨앗, 흙 덕분에 올 봄에 새로운 식물이 우리 집을 환하게 밝혀 줄 것이다. 지금 바질과 방울 토마토 싹이 살짝 고개를 내밀도 있다. _x000D_
",자기계발,"40,000원",전체대상,1
학생을 살리는 학교공간혁신,30차시,2023-12-14,3,학교를 다른 역할로 이용하자는 의견은 올바르지 않다고 생각합니다.,학교가 밤이 되고 주말이 되면 공간이 아까우니 이것저것 하자고 하시는데 동의하기 어렵네요. 그렇게 치면 모든 회사나 관공서의 건물을 저녁이나 주말에 활용해야겠죠. 투표권도 없는 약한 아이들이 학교의 주인이라 학교에 대해 이렇게 말도 안되는 생각이 오고가는 건가 많이 의아한 연수였습니다.,자기계발,"75,000원",전체대상,0
"탤짱쌤의 컴퓨터 활용 꼼수, 이제 나도 스마트",15차시,2024-06-10,5,나도 스마트해지기,"경력이 늘어날수록 오히려 디지털, 컴퓨터 관련 수업도구 활용 연수는 더 어려워져만 가네요. 정말 사소한 것도 모르는 가운데, 차근차근 설명해주셔서 너무 좋았습니다. ",ICT,"40,000원",전체대상,1
EBS다큐프라임으로 배우는 생태전환교육,30차시,2024-01-16,5,부자 교사의 재테크,2030 선생님들이 이 연수를 들으면 좋겠습니다. 가장 기초적인 내용일지라도 들은 사람은 은퇴 후 인생이 달라질 것입니다.,학습지도,"75,000원",전체대상,1
다름을 이해하는 교실 속 통합교육,30차시,2023-12-18,5,통합확급,통합학급 경영에 대한 아이디어를 얻었습니다..,생활지도,"65,000원",전체대상,1
교사를 위한 구글 활용법(입문자편),15차시,2024-02-26,5,유익한 연수를 잘 받았습니다.,유익한 연수 잘 들었습니다. 감사합니다. ^^~,ICT,"40,000원",전체대상,1
이제 제대로 놀아보자! 쏭쌤의 신체 활용 인성 놀이,30차시,2024-05-01,4,잘 듣고 갑니다.,"잘 듣고 갑니다._x000D_
수고하세요",교과지도,"75,000원",유초등,0
나만의 이미지 가치를 높여주는 퍼스널 컬러 스타일링,15차시,2023-12-13,5,펄스널 컬러에 대해 알게됐어요,펄스널 컬러에 대해 알게됐어요,자기계발,"40,000원",전체대상,1
알면 편한 심리학 with 유미의 세포들,30차시,2024-03-06,5,좋은 강의였어요 고마워요.,좋은 강의였어요 고마워요.,자기계발,"75,000원",전체대상,1
한국어교원양성과정 Ⅰ,30차시,2024-01-13,5,국어가 참 어려워요.,경력이 더 쌓일수록 국어 교수가 쉽지 않아요!,자기계발,"75,000원",전체대상,1
"챗GPT 융합교육 가이드, 인공지능(AI) 챗봇 수업",15차시,2023-12-29,5,챗GPT 활용법은 이 연수로~!!,챗GPT를 활용한 다양한 수업에 대해 고민해보고 수업에 활용할 수 있는 방법을 생각할 수 있게 한 연수였습니다.~,학습지도,"50,000원",유초등,1
뜻밖의 일상 행복화실,30차시,2023-12-27,5,바쁜 업무와 일상 속 작은 휴식,바쁜 업무와 일상 속 작은 휴식,자기계발,"75,000원",전체대상,1
신영일과 함께하는 안전교육 365,15차시,2024-04-09,5,안전에 대한 기본기를 다지는데 충실한 좋은 강의였습니다.,안전에 대한 기본기를 다지는데 충실한 좋은 강의였습니다.,생활지도,"40,000원",전체대상,1
교사를 위한 학생안전길라잡이,15차시,2024-03-29,5,3년간 15시간 안전 연수 이수에 좋아요.(2024년~2026년),"2024~2026년_x000D_
_x000D_
안전연수 의무 이수도 있고 해서 듣게 되었습니다/_x000D_
_x000D_
다양한 분야의 안전에 대해 자세히 알 수 있는 기회가 되었습니다.",생활지도,"35,000원",전체대상,1
정재승의 미래학교,30차시,2024-05-03,5,"내가 어떤 교사가 될 것인가?  알려주는, 꼭 필요한 연수!","하루하루 학교에서 주어진 일을 해내는 것만으로도 버거웠기 때문에, 그동안은 필수로 들어야 하는 연수나 아이들을 가르치는데 바로 적용할 수 있는 연수 위주로 들었습니다. 그런데 올해 시간적인 여유를 좀 가지게 되면서, ""나는 늘 뭔가 열심히 노력하고 있기는 하지만, 이게 맞는건가? 지금까지 해온대로 하면 되는건가?, 나는 앞으로 어떤 교사로 살아갈 것인가?'와 같은 조금은 큰 질문을 하게 되었습니다. _x000D_
이 시기에 정재승 교수님의 미래학교 연수를 만나게 되었고, 내가 어떤 생각으로, 어떤 비전으로 아이들을 만나야 할 것인가에 대한 방향을 명확히 알게 되었습니다. 그리고 교사로서의 자존감이 서서히 무너지고 있던 차에, 그럼에도불구하고 여전히 아이들에게 학교와 교사의 역할이 얼마나 중요한가를 알게된 점도 좋았습니다. 감사합니다.^^ ",학습지도,"75,000원",전체대상,1
교사를 위한 내 월급 사용설명서,30차시,2024-05-27,4,내용이 애매한 것 같아요..,  금전 감각이 조금 무딘 선생님들께서 보신다면 절약에 대한 경각심을 가질 수 있는 연수라고 생각됩니다. 하지만 30차시의 짧지 않은 연수 중에서 정말 적용할 수 있겠다고 느껴지는 강의는 몇 강의 없는 것 같아서 조금 아쉽습니다. ,자기계발,"75,000원",전체대상,0
교사를 위한 구글 활용법(입문자편),15차시,2023-12-20,5,정말 잘 활용하고 있는 연수,"그냥 대~~~강 알았던 구글 도구들, 그리고 몰랐던 구글 도구들을 아주아주아주 잘 활용하게 되었어요. 감사합니다.^^",ICT,"40,000원",전체대상,1
"생각을 꺼내는 교육, 이제는 IB 시대",15차시,2024-05-23,5,올해 꼭 들어야 하는 연수,세계교육의 흐름에 비추어 AI와 공존하는 시대로 탈바꿈하는 이 시점에서 우리 교육이 어떠한 방향성을 가지고 이루어져야 하는지 여실히 느끼게 해주는 강의입니다! 강추!!!!,학습지도,"50,000원",전체대상,1
EBS다큐프라임으로 배우는 생태전환교육,30차시,2023-12-28,5,생태 전환 교육,멸종위기 동물과 그 동물의 특성 등 새로운 지식을 얻을 수 있어 좋았습니다.,학습지도,"75,000원",전체대상,1
법정의무교육 한 번에 이수하기,15차시,2023-12-23,5,한 번에 이렇게 법정연수를 이수할 수 있다니!!,늘 교육청에서 제공하는 무료 수업을 듣곤 했었는데... 올해는 아이스크림 원격연수원에서 들었어요. 재밌게 다 들을 수 있어서 놀랐고 다음 해에도 여기서 들어야겠다 다짐했습니다. ,생활지도,"40,000원",전체대상,1
"학교자치, 함께 꽃피우다 - 민주적 학교문화 만들기",30차시,2024-04-22,5,함께 꽃 피우는 학교자치,현장경험을 바탕으로 학급차치에서 학교자치까지의 일련의 과정을 연수와 담화 방식으로 알기 쉽게 풀어낸 연수,생활지도,"75,000원",전체대상,1
"소통과 변화의 첫걸음, 욕구 코칭",30차시,2024-02-09,5,욕구코칭,"욕구를 깊이 들여다 봄으로 나를 이해하고, 상대방을 이해할 수 있는 유익한 시간이었습니다. 실제로 깊이있는 나눔으로 수업이 진행되어 수업을 이해하고 적용하기까지 많은 도움이 될 것 같습니다.",생활지도,"75,000원",전체대상,1
"김영철, 타일러의 진짜 미국식 영어2",30차시,2024-01-06,5,"김영철, 타일러의 진짜 미국식 영어2 연수 후기","연수에 참여한 계기는 영어회화를 더 잘하고 싶었기 때문입니다. 한국에서 배운 영어는 딱딱하고 자연스럽지 않다는 느낌을 받았고, 실제 미국인들이 사용하는 영어를 배우고 싶었습니다._x000D_
_x000D_
연수를 수료한 후, 영어회화에 대한 자신감이 많이 생겼습니다. 이전에는 외국인과 대화를 할 때 쑥스러워하고 말을 더듬곤 했는데, 이제는 좀 더 자신 있게 대화를 할 수 있게 되었습니다. 또한, 영어를 듣고 이해하는 능력도 향상된 것 같습니다._x000D_
_x000D_
연수를 통해 영어회화 실력을 향상시킬 수 있는 좋은 기회를 얻었다고 생각합니다. 영어회화를 배우고 싶은 분들에게 적극 추천합니다._x000D_
_x000D_
김영철, 타일러의 진짜 미국식 영어2 연수는 영어회화 실력을 향상시키고 싶은 분들에게 좋은 기회를 제공합니다. 맥락과 상황을 이해하는 영어회화 학습법을 통해 자연스러운 영어회화 실력을 키울 수 있습니다.",어학,"75,000원",전체대상,1
하지현의 감정수업,30차시,2024-06-04,4,감정수업 후기,감정 조절 방법에 대해 알 수 있어 좋았습니다.,생활지도,"85,000원",전체대상,0
"학생자치, 우리가 만드는 학교 민주주의",15차시,2023-12-18,5,학생자치활동,학생자치활동에대한 이해 및 운영의 다양한 아이디어를 얻었습니다.,생활지도,"40,000원",전체대상,1
영어회화 100일의 기적-에디션,15차시,2024-01-18,5,영어가 술술~,미처 알지 못했던 표현들을 배울 수 있어서 좋았으나 실생활에서 사용을 잘해야 할텐데....,어학,오픈준비중,오픈준비중,1
교실에서 바로 적용하는 스마트기기 활용 수업,15차시,2024-02-05,5,다양한 스마트기기의 종류를 알게 해줬어요,"교실에서 활용할 수 있는 스마트기기가 이렇게 많은 줄 몰랐는데 본 연수를 통해 다양한 스마트기기, 애플리케이션 종류를 알게되었습니다.",학습지도,"50,000원",유초등,1
알베르토가 함께 하는 핵심역량 연계 다문화 교육,30차시,2024-05-08,5,꼭 들어 봐야 할 수업,"꼭 들어봐야 할 수업입니다._x000D_
다양한 배움을 얻고 갑니다.",생활지도,"75,000원",전체대상,1
흔들리지 않는 교실을 위한 단호한 학급운영,30차시,2024-03-11,5,흔들리지 않는 교실을 위한 단호한 학급 운영,"흔들리지 않는 교실을 위한 단호한 학급 운영_x000D_
새학기 아이들 학급 운영에 많은 도움이 되었습ㄴ디ㅏ.",학급경영,"85,000원",유초등,1
"공감의 통합교육, 너도 우리반이야!",30차시,2023-12-21,4,어쩌다 바다 건너 유럽 미술에 빠지는 순간,"기존에 알던 유명한 화가들 위주로 수업이 구성될 줄 알았는데_x000D_
생각보다 생소한, 몰랐던 화가들을 알게 되어서 좋았습니다._x000D_
구성된 내용은 알차고 평가 문항은 딱 필요한 부분만 나와서 연수 듣는데_x000D_
어려움이 적었습니다. 근데 연수 몇 차시 부분에서 오류가 있더라구요._x000D_
수정바랍니다.(앞 연수 내용과 평가 문항 내용이 맞지 않는 경우)",생활지도,"65,000원",전체대상,0
"학습부진, 기초튼튼! 실력쑥쑥!",15차시,2023-12-14,4,현장에선 어려운... 멀고 험한 학습부진,"학습 부진은 교사라면 누구나 가지고 있는 딜레마다. _x000D_
대다수 아이들에 맞추어 수업을 진행하면 소수의 개별학습이 필요한 학생들은 학습부진의 굴레가 더 커질 수 밖에 없고, 이친구들을 개별 지도하다 보면 나머지 친구들의 수업에 어려움이 있는 현실.... 연수를 들었지만 여전한 물음표",학습지도,"35,000원",전체대상,0
이야기가 있는 유쾌한 클래식,30차시,2024-05-10,5,이야기가 있는 유쾌한 클래식이란 연수를 듣고,"기본적으로 알고 있던 클래식에 대해 이야기를 통해 곡의 주제를 좀 더 자세히 알게 되었고, 작곡자와 작품, 클랙식 악기와 특징 등을 자세히 알게 되었음.",자기계발,"75,000원",전체대상,1
처음 만나는 다문화교육,30차시,2024-04-19,5,다문화 중점학교 근무중입니다,저희 학교는 다문화 학생이 70%를 넘는 학교입니다. 이번 연수를 통해 그동안 이해하지 못했던 다문화 학생에 대해 생각해보게 되는 교육이었습니다,생활지도,"75,000원",전체대상,1
흔들리지 않는 교실을 위한 단호한 학급운영,30차시,2023-12-14,5,나의 학급운영 방식을 되돌아보는 연수,이번 연수를 통해 나의 학급운영 방식을 되돌아보고 좀 더 의미있는 방향으로 나아갈 수 있는 힘과 용기가 생겼다.,학급경영,"85,000원",유초등,1
하루 20분! 나만을 위한 '나마스떼' 힐링 요가,15차시,2023-12-19,5,나마스떼 힐링요가,"오프라인으로만 요가를 배웠는데, 온라인으로 짧게 매일 조금씩 하다보니 건강해진 느낌이 들었어요. 다시 보기 하면서 복습하려고 합니다.",자기계발,"40,000원",전체대상,1
설민석의 한국통사,30차시,2023-12-27,5,우리 나라 역사를 .....,우리 나라 역사의 큰 흐름과 중요한 사건 중심으로 한 연수라서 좋았습니다. ,교과지도,"65,000원",전체대상,1
알베르토가 함께 하는 핵심역량 연계 다문화 교육,30차시,2024-05-29,5,다문화 이해,다문화 학생이 다수인 학교에 근무 중인데 많은 도움이 되었습니다.,생활지도,"75,000원",전체대상,1
여행과 문화로 배우는 맛있는 스쿨 - 일본어 편,15차시,2023-12-25,5,여행과 문화로 배우는 맛있는 스쿨 일본어편,맛있는 스쿨 일본어 편을 공부하고 일본어에 자신감이 생겼습니다. 재밌고 유익하게 설명해 주신 강사님께 감사드리고 더 열심히 공부하겠습니다.,어학,"40,000원",전체대상,1
"교실놀이, 수업에 행복을 더하다",30차시,2024-03-25,5,저학년 수업에 필수적인 놀이! ,"저학년 수업에 필수적인 놀이수업이 잘 정리되어 있어요~ _x000D_
오랜만에 1학년 맡아서 앞이 깜깜했는데, _x000D_
이 수업 듣고 정말 많이 활용했어요!!! _x000D_
강추입니다.._x000D_
_x000D_
혹시 올해 1학년 담임을 맡으신 분. _x000D_
저학년이 자신 없는 선생님께 추천합니다. _x000D_
_x000D_
수업에 활용할 수 있는 다양한 방법이 나와요!",학습지도,"65,000원",유초등,1
야나두 미국에서 한 달 살기- 현지 생활 편,30차시,2024-03-27,5,알찬 연수였습니다.,감사합니다. 간단한 생활영어를 배우기 좋네요,어학,"75,000원",전체대상,1
[캠브리지] English Grammar in Use,60차시,2024-05-13,4,영어문법연수,"영어문법 연습하기 좋아요~_x000D_
그런데 선생님이 문제 풀어주실때 typical한 문제보다 typical에서 살짝 벗어난 예외 문제도 풀어주셨으면 좋겠어요~",어학,"140,000원",전체대상,0
초기 문해력 - 기초학력 디딤돌 세우기,15차시,2024-06-04,5,나에게 도움이 되는 연수,학생들을 이해하고 지도하는 것에 매우 도움이 되는 연수인 것 같습니다.,학습지도,"50,000원",유초등,1
"엑셀의 신, 학교에서 쓰는 쉬운 엑셀",30차시,2024-05-20,5,유용한 엑셀 연수,평소 어렵게만 느껴졌던 엑셀에 대한 자신감을 가지게 해 주는 연수 !,ICT,"75,000원",전체대상,1
하지현의 감정수업,30차시,2024-05-24,5,감정수업,감정수업 도움이 많이 되었어요. 전문가라 정확하고 쉽게 강의해요,생활지도,"85,000원",전체대상,1
김성환 선생님과 함께 실천하는 학급긍정훈육법(PDC),30차시,2024-01-07,5,강력추천,PDC덕분에 무척 행복한 1년을 보냈습니다. 교직생활에서 PDC이전과 이후로 나뉠정도로 전환점이 되었던 좋은 강의!! 무조건 추천!!!,학급경영,"75,000원",유초등,1
"탤짱쌤의 컴퓨터 활용 꼼수, 이제 나도 스마트",15차시,2024-05-08,1,최신 내용으로 업데이트 필요,"우선 강의가 재미있고 유익했습니다._x000D_
하지만 5년전 내용이라 현재와 맞지 않는 부분이 많습니다._x000D_
컴퓨터관련 연수인데 최신 내용으로 바꾸어야하지 않을까요?",ICT,"40,000원",전체대상,0
시크릿 플레이리스트 슈퍼콘서트,30차시,2024-05-08,5,진행자 짱,진행자의 진솔한 토크가 재밌었습니다. ,자기계발,"85,000원",전체대상,1
"서양음악사, 클래식으로 꽃피다",30차시,2024-05-20,5,클래식,일단 마음이 힐링되는 좋은 연수입니다. 서양음악사가 전혀 지루하지 않고 재미있게 느껴지게 하는 마법의 연수~,교과지도,"65,000원",전체대상,1
수진샘의 따뜻한 관계 맺기,30차시,2024-05-05,5,성공적인 따뜻한 관계 맺기를 위해,"1학년을 2년째 하며 심적으로 많이 지친 때에 필요성을 느끼고 이 연수를 듣게 됐습니다. 5년 전쯤 수진샘의 직업놀이 연수를 듣고 지금 4년째 교실에서 적용하며 도움을 얻고 있어서 강사님을 보고 망설임 없이 연수를 신청했습니다. _x000D_
초반부에는 뭐 다 아는 내용이잖아...라고 생각하며 몰입이 잘 되진 않았습니다. 그런데 중반부부터 이야기들이 잘 들려왔고, 다 알지만 교실에서 적용하지 못하고 있는 자시을 돌이켜보는 시간이 되었다고 할까요? 그리고, 중간이후부터는 새롭게 배우는 내용이 꽤 있었고요, 지속적으로 해오고 있는 직업놀이도 업데이트 할 수 있어 좋았습니다. 자리 배치도 강의 들으며 개인 자리로 다시 바꾸었어요 학부모 상담 내용도 유용했고요, 3월전에 못들은 건 아쉽지만, 내년부터는 처음부터 잘 신뢰를 쌓아가며 상담도 잘 할 수 있겠다 싶었어요. _x000D_
그리고, 한 아이 때문에 소진되어가는 제게 수진샘은 서로의 신뢰를 쌓는데 3개월은 걸린다 하신 말씀이 큰 위로가 되더라고요. 5월까지는 아직 쌓아가야하는 기간이구나. 이후부터는 좀 나아지겠지? 하는 한줄기 희망도 갖게 되었습니다. 저경력샘들은 꼭 들었으면 하는 연수고요, 저처럼 경력이 좀 있어도...20년이 조금 넘었어요...마음가짐을 새롭게 하며 돌아보는 시간을 가지는 데도 도움이 될 것 같습니다. _x000D_
연수 내내 선생님들 향항 응원의 메세지가 따뜻해서 좋았습니다. ",생활지도,"85,000원",전체대상,1
"가장 쉬운 수업도구, 패들렛과 띵커벨",15차시,2024-02-03,5,든든한 새학년 준비 끝!,"패들렛에 대한 사용은 참여하는 정도에서 해 봤지만, 띵커벨이 이렇게 유용한 수업도구로 활용될 수 있다는 것은 처음 알았습니다. _x000D_
_x000D_
나이가 들수록 고학년 담임이 두려워지는데, 패들렛과 띵커벨 도구를 활용하여, 국어수업, 그림책과 온책읽기 활용 수업, 토론수업, 시쓰기 수업, 사회과 역사수업, 그리고 마지막 차시에 과학과 도덕, 음악, 미술과 수업에까지 무궁무진하게 활용할 수 있는 아이디어와 팁을 알려주셔서 너무 든든한 새학년 준비의 시간입니다. _x000D_
_x000D_
김성규선생님께서 그림책과 책 활용 수업, 보드게임이나 놀이활동에도 관심이 많으신 것 같아서 제게 더 활용도 높게 다가옵니다. 무엇보다 좋은 이유 중의 하나가 학생들이 쓴 글이나 의견, 작품 결과물을 함께 공유하기가 가장 용이합니다. 교실에서 이 마지막 활동을 위해서 굉장히 시간과 에너지가 많이 든다는 걸 다들 알고 계실테니까요. 또 지도수업, 역사수업에도 매우 효율적으로 적용이 가능할 것 같고, 학생 개개인이 찾고 조사하는 활동을 통해 의미있는 학습이 될 수 있다는 것도 큰 장점으로 보입니다. _x000D_
_x000D_
결과물 전시, 자료 보관의 역할도 훌륭해서, 나중에 훌륭한 평가자료와 근거도 될 것 같습니다. 글 작품들은 따로 워드프로세서 작업 필요없이 학급문집자료로도 될 수 있을 것 같습니다. _x000D_
눈을 반짝반짝하며 매우 초집중해서 들은 귀하고 유익한 연수였습니다. 덕분에 새학년이 조금은 더 자신있어집니다. ^^",ICT,"40,000원",전체대상,1
야나두 미국에서 한 달 살기- 현지 체험 편,30차시,2024-06-09,5,완전 강추 연수,야나두 다른 강좌와 다르게 강사님의 강의가 정말정말 알차서 정지 버튼을 얼마나 많이 눌렀는지 모릅니다. 하나도 버릴게 없는 알차고 유용한 표현 많이 배웠습니다. 바로 원어민교사와의 대화에서 써먹기 좋았습니다. 감사합니다. ,어학,"75,000원",전체대상,1
고전읽기로 1년 학급운영 쉽게 끝내기,30차시,2024-05-10,5,부담없이 들을 수 있는 연수,"어렸을 때 읽었던 고전을 다시 한번 느끼고 싶어서 신청했습니다. 잊고 있었던 내용들을 좀 더 자세히 알게 되었고, 반 아이들과 독후 활동 하는데도 많은 도움이 될 것 같습니다.",학급경영,"85,000원",유초등,1
설민석의 한국사능력검정시험[심화]-하,30차시,2024-04-24,5,다시 한번 의욕을 불러일으키는 연수,"한국사 능력검정시험을 준비중인데. 너무나 방대한 양으로 정리가 잘 되지 않아 힘들었는데 설민석 선생님의 깔끔하고 쌈박한 정리와 설명으로 나름대로 정리가 되고 있습니니다. _x000D_
군더구니 없이 정리하여 설명해 주셔서 많은 도움이 되었습니다. _x000D_
",학습지도,"75,000원",전체대상,1
교사를 위한 구글 활용법(입문자편),15차시,2024-06-04,4,구글 활용법 후기,구글 활용 방법을 알 수 있어 좋았습니다.,ICT,"40,000원",전체대상,0
유초등을 사로잡는 감동의 그림책 놀이수업,30차시,2024-04-08,5,놀이수업에 눈을 뜨다.,다양한 그림책 놀이 수업 연수를 통해 놀이수업에 눈을 뜨게 되었습니다.,학습지도,"85,000원",유초등,1
"Z세대의 소통법, 유튜브 활용 교육",30차시,2024-04-21,5,"유튜브 활용 수업 입문, 강추","유튜브 활용 수업 관련해서 다양한 내용을 자세하게 알 수 있었습니다. 유튜브 활용 수업, 시작해 봅시다.^^",ICT,"75,000원",전체대상,1
쌍방향이 가능한 온라인 수업 방법 및 도구 활용,7차시,2023-12-19,5,"힐링여행, 유네스코 세계문화유산을 찾아서(60차시)","힐링여행, 유네스코 세계문화유산을 찾아서 4학점(60시간) 연수를 주변 선생님의 권유로 수강하게 되었다. 연수 강좌를 듣다보니 연수 첫 강 서두에서 이야기하듯이 오랜기간  연수제작의 노고가 느껴지는 연수였다. 전 세계 유네스코 세계문화유산들의 모습을 영상으로 자세히 살펴볼 수 있었고, 유산들의 특징과 역사적 사건들에 대해서도 자세히 알아볼 수 있는 유익한 연수였다. 하지만 고득점의 연수점수가 필요한 나에게는 그리 힐링이지만은 않았다. 공부해야 하는 내용들이 너무 많고, 특히 외국 인물과 지명들은 익숙한 경우도 있었지만 생소한 경우도 많아 공부하기는 쉽지 않았다. 하지만 찬찬히 연수를 들으며, 주요 내용을 나라별로 정리하고, 책의 내용을 통해 다시 복습하면서 힘이 들기는 했지만 뭔가 새로운 내용들을 익혀간다는 생각도 들었다. 자격연수를 준비하시는 선생님들께서는 꼼꼼하게 공부를 해 나가야 할 것 같고, 특히 강좌마다 흩어져 있는 나라들의 유산을 나라별로 정리한 후 공부하는게 도움이 되었으며, 온라인 시험 또한 출석시험 전에 3회까지 다 보고 가는게 도움이 될 것 같다. 60시간의 긴 연수를 이수하신 선생님들 모두 수고하셨습니다~~",ICT,"21,000원",전체대상,1
