제목,시간,날짜,별점,리뷰제목,리뷰내용,연수분야,가격,대상,label
폭력 교실에 맞서는 용기,30차시,2024-02-03,5,교권 보호 연수를 통해...,"올해 처음으로 인성인권부장을 맡게 되어 많은 걱정이 있었습니다. 점점 힘들어지고 있는 학교 현장에서 잘 대처를 할 수 있을지..._x000D_
그래도 이번 연수 덕분에 많은 걱정을 덜게 되었네요. 앞으로도 이런 좋은 연수 꾸준히 부탁드리겠습니다",생활지도,"75,000원",중등,1
이보영의 하루 20분 영어 말하기 기술,30차시,2024-02-03,5,영어 말하기가 쉬워지는 연수,ebs 라디오 뿐만 아니라 원격 연수에서도 이보영 선생님의 연수를 여러 개 들어보았습니다. 늘 느끼는거지만 이보영 선생님은 영어를 쉽고 자세히 알려주세요. 그래서 이해가 잘 되고 읽고 입에 붙이는 훈련을 하기에 참 도움이 많이 됩니다. 평소에 자주 쓰는 표현이지만 어렵지 않은 어휘 중심으로 이루어진 연수라 더욱 부담이 적었어요.,어학,"75,000원",전체대상,1
리얼클래스! 무민으로 배우는 진짜 영어,30차시,2024-02-03,5,영국 영어 맛보기,어릴 적부터 미국식 영어에만 익숙해진터라 영국식 영어가 정말 낯서네요. 특히 발음이 많이 달라 잘 들리지가 않더라고요. 하지만 영어를 배우고 가르치는 입장에서 두 스타일의 영어가 어떻게 다른지 배우고 아는 것이 참 중요하다는 생각이 듭니다. 아직 듣기도 말하기도 영국식 영어가 훨씬 어렵지만 자꾸 듣다보면 익숙해지겠지요? 유익한 연수였습니다.,어학,"75,000원",전체대상,1
알아두면 쓸모있는 교직실무,60차시,2024-02-03,5,꼭 한번은 들을만한 연수입니다. ,"점수 때문에 신청하기는 했지만 도움이 되는 연수였습니다. _x000D_
정오표가 탑재되기는 하였으나 최근 들어 변화된 교육정책들이 많아 반영이 잘 되었으면 합니다. _x000D_
예를 들어 서울시에서 학교폭력 사안조사를 담당하는 「학교폭력 전담 조사관 제도」 올해 3월부터 전면 시행한다는 정책처럼 시도별로 다른 정책들오 인하여 혼동이 올 수 있다고 생각합니다. _x000D_
개인적으로는 53강의 교사들은 학생들의 가정을 적어도 한번은 방문하는 것이 바람직하다는 내용은 시대에 맞지 않다고 생각합니다.  _x000D_
_x000D_
",자기계발,"130,000원",전체대상,1
세상 쉬운 고교학점제! 진로 진학 끝판왕,30차시,2024-02-03,5,고교학점제 운영에 대한,쉬우면서도 핵심 내용을 잘 전달하고 있다. 고교학점제의 장단점이 무엇인지 앞으로 어떤 점을 보완하여 시행하면 학생들에게 도움이 되는지 알게되었다. 앞으로 교육의 방향은 교사가 전문적으로 배워야할 내용이 교과 뿐만 아니라 광범위 하다는데 부담감이 생기기도 한다.,학습지도,"75,000원",전체대상,1
"가장 쉬운 수업도구, 패들렛과 띵커벨",15차시,2024-02-03,5,든든한 새학년 준비 끝!,"패들렛에 대한 사용은 참여하는 정도에서 해 봤지만, 띵커벨이 이렇게 유용한 수업도구로 활용될 수 있다는 것은 처음 알았습니다. _x000D_
_x000D_
나이가 들수록 고학년 담임이 두려워지는데, 패들렛과 띵커벨 도구를 활용하여, 국어수업, 그림책과 온책읽기 활용 수업, 토론수업, 시쓰기 수업, 사회과 역사수업, 그리고 마지막 차시에 과학과 도덕, 음악, 미술과 수업에까지 무궁무진하게 활용할 수 있는 아이디어와 팁을 알려주셔서 너무 든든한 새학년 준비의 시간입니다. _x000D_
_x000D_
김성규선생님께서 그림책과 책 활용 수업, 보드게임이나 놀이활동에도 관심이 많으신 것 같아서 제게 더 활용도 높게 다가옵니다. 무엇보다 좋은 이유 중의 하나가 학생들이 쓴 글이나 의견, 작품 결과물을 함께 공유하기가 가장 용이합니다. 교실에서 이 마지막 활동을 위해서 굉장히 시간과 에너지가 많이 든다는 걸 다들 알고 계실테니까요. 또 지도수업, 역사수업에도 매우 효율적으로 적용이 가능할 것 같고, 학생 개개인이 찾고 조사하는 활동을 통해 의미있는 학습이 될 수 있다는 것도 큰 장점으로 보입니다. _x000D_
_x000D_
결과물 전시, 자료 보관의 역할도 훌륭해서, 나중에 훌륭한 평가자료와 근거도 될 것 같습니다. 글 작품들은 따로 워드프로세서 작업 필요없이 학급문집자료로도 될 수 있을 것 같습니다. _x000D_
눈을 반짝반짝하며 매우 초집중해서 들은 귀하고 유익한 연수였습니다. 덕분에 새학년이 조금은 더 자신있어집니다. ^^",ICT,"40,000원",전체대상,1
지나영의 본질육아,30차시,2024-02-03,5,힐링을 주는 연수,"부모이자 교사인 누군가에게나 느끼게 하는 점이 많았고, 육아에 지친 부모에게 힐링이 되는 연수였습니다. 다시 듣고 싶고 추천해 주고 싶은 연수입니다.",자기계발,"85,000원",전체대상,1
한국어교원양성과정 Ⅳ,30차시,2024-02-02,5,유익한 연수,새로운 것을 알고 배운 재미있는 연수였습니다.,자기계발,"75,000원",전체대상,1
"MZ세대의 미래를 위한 핵심 리포트, 김광석의 경제 키워드 12",15차시,2024-02-02,5,유익했습니다.,어려운 경제 주제를 최대한 쉽게 풀어주셔서 이해하는데 도움이 됐습니다.,자기계발,"40,000원",전체대상,1
"김선현의 그림치유, 날지 않는 꿈도 괜찮아",15차시,2024-02-02,5,그림을 통해 사람을 이해하는 유익한 시간,"그림 안에 들어있는 작가의 삶을 읽을 수 있었습니다. 김선현 선생님의 저서를 더 챙겨 읽고, 툴루즈 로트렉레크와 물랑루즈, 마네와 베르트 모리조, 르네 마그리트, 타마라 드 렘피카 등 꼬리에 꼬리를 달고 찾아보니, 그림과 화가에 대한 이해가 확~ 넓어졌습니다. 인지행동치료에 대한 설명은 교사인 저에게도 매우 유익했습니다. _x000D_
특히 MBTI별로 설명해 놓은 글과 그림으로 주변 사람과 함께 나눌 수 있어 매우 뜻깊었습니다. 선생님이 오랜 시간을 걸쳐 연구하고 검증해 놓은 결과로 보였습니다. 자신의 모습을 글과 그림으로 보고 난 후에는 맞아, 맞아, 난 이래! 하는 반응이 많았고, 보완해야 할 점을 그림으로 확인하고 난 후 대부분 깊이 수긍하는 모습을 볼 수 있었습니다. 방학 때 공부한 연수 중 매우 뜻깊은 시간이었습니다. ",자기계발,"50,000원",전체대상,1
조병영의 문해력 수업,30차시,2024-02-02,5,문해력 지도에 많은 도움이 될 것 같아요,막연 하기만 했는데 교실에서 문해력 지도에 힘 쓸 수 있을 것 같아요!,학습지도,"75,000원",전체대상,1
전문가가 알려주는 창의 영재교육의 비법,30차시,2024-02-02,5,전반적으로 창의 교육에 도움이 될 것 같아요~!,지도 과정이 세세하게 제시되어 있고 현장감 있는 동영상 자료가 내용을 이해하는데 많은 도움이 됩니다.^^,학습지도,"75,000원",전체대상,1
PPT의 신-학교에서 쓰는 쉬운 PPT,30차시,2024-02-01,5,기초에서 응용까지 완벽한 정리 제공,기초적인 작업에서 퀄리티 높은 결과물 제작까지 아우르는 매우 효과적인 연수과정으로 적극 추천하고 싶습니다.,ICT,"75,000원",전체대상,1
[집밥 한 끼] 맛있는 다이어트 + 건강한 밥상,15차시,2024-02-01,5,삶을 살아가는 데 있어서 너무 유익한 연수였습니다!,"직접 요리학원을 다니면서 요리를 배우면 수강 비용도 많이 들고 시간도 많이 소비되는데 비대면으로 일상생활에서 원하는 시간과 장소에서 간편하게 따라할 수 있어서 너무 유용하고 좋아요!_x000D_
일상생활에서 간편하게 활용할 수 있는 너무 유익한 연수였습니다!",자기계발,"40,000원",전체대상,1
하루 20분! 나만을 위한 '나마스떼' 힐링 요가,15차시,2024-02-01,5,생활에서 간편하게 사용할 수 있는 너무 유익한 연수였습니다!,"직접 요가를 다니려면 수강 비용도 많이 들고 시간도 많이 소비되는데_x000D_
일상생활에서 원하는 시간과 장소에서 간편하게 따라할 수 있어서 너무 유용하고 좋아요!_x000D_
일상생활에서 간편하게 활용할 수 있는 너무 유익한 연수였습니다!",자기계발,"40,000원",전체대상,1
꽤 괜찮은 해피엔딩: 외상 후 성장을 통한 인생 다시쓰기,2차시,2024-01-31,5,이지선 교수님의 이야기를 들을 수 있었던 시간,책과 매스컴으로 접했던 이지선 선생님의 강의를 비대면이지만 직접 실시간으로 목소리를 들을 수 있었던 시간이었습니다. 불의의 사고를 겪은 사람들에게도 또 그렇지 않은 사람들 모두에게 용기의 아름다움을 느끼게 해 주신 시간이었습니다. 존경의 마음을 전합니다.,자기계발,오픈준비중,오픈준비중,1
"감정, 나를 성장시키는 힘",2차시,2024-01-31,5,감정을 들여다 보기,감정에 휘둘리는 사람이 아닌 나의 감정을 바라볼 줄 알고 스스로 절제하는 노력 속에서 더 성장할 수 있다는 내용입니다. 괜찮은 강의였습니다.,자기계발,접속불가,접속불가,1
최민준&김택수의 위대한 녀석들,15차시,2024-01-31,5,남자 아이들을 이해하는데 도움이 많이 됩니다.,"여러 번 들어야 남자 어린이들의 특성을 좀 더 잘 기억하게 될 것 같습니다. _x000D_
부담없이 자주 들을 수 있을 정도로 쉽게, 친근하게 강의해 주셨습니다. _x000D_
남자 어린이들에 대한 참을 성이 떨어진다 싶을 때 다시 들으면 좋을 것 같습니다. ",생활지도,"40,000원",유초등,1
마음치유 수업: 교사로 사는 나 이해하기,15차시,2024-01-31,3,심리학 강의...,너무 어려운 심리학 용어들과 그에 대한 설명들이 많아 이해가 어려운 부분이 많았습니다. 시험볼 때 너무 고생했습니다...ㅠㅠ,자기계발,"40,000원",전체대상,0
"[자율연수] 탤짱쌤의 컴퓨터 활용 꼼수, 이 정도면 나도 스마트",7차시,2024-01-31,5,쉽게 배워 바로 쓸 수 잇는 컴퓨터 활용꼼수!,단축키를 사용하니 정말 편리하고 좋습니다. 기억하기 쉽도록 만든 문구가 재미있으면서도 귀에 쏙쏙 들어왔어요. 무엇보다 쉬워서 바로 바로 적용할 수 있었습니다. 백믹스와 같은 새로운 프로그램도 잘 배웠습니다.감사합니다.  ,ICT,무료,전체대상,1
"소통하는 학교, 참여하는 수업을 위한 교사의 퍼실리테이션 역량키우기",30차시,2024-01-31,4,도움과 배움이 있는 연수였습니다.,퍼실리테이션에 대한 개괄적 이해와 내용이 수업 현장에 도움이 많이 되었습니다.  감사합니다.,학습지도,"75,000원",전체대상,0
[집밥 한 끼] 맛있는 다이어트 + 건강한 밥상,15차시,2024-01-31,5,맛있는 집밥 도전!!,"외식이 많고 시켜먹는 음식이 많았는데 연수받고 집밥을 도전해 볼까 하는 생각이 들었습니다. 간단한듯 하면서 쉽지 않을것 같아 망설여 지기도 합니다._x000D_
건강하게 집에서 밥을 지어먹어야 겠어요~",자기계발,"40,000원",전체대상,1
PPT의 신-학교에서 쓰는 쉬운 PPT,30차시,2024-01-31,5,"PPT의 편리한 기능을 배우게 된 연수, 교사가 활용하기 좋은 사례 중심의 수업 내용이었으면...","- PPT 작성에 대해서 몰랐던 사실들을 많이 배우게 된 강의였습니다._x000D_
- 강사분이 오랜 기간 직접 PPT를 작성하면서 알게 된 그래픽 관련 사이트, 디자인 관련 사이트, 폰트 사이트 등을 알려 주셔서, 실질적인 작업에 있어 많은 도움이 되었습니다. 특히 PPT를 아름답게 디자인하는 것에 관심을 갖게 된 연수였습니다._x000D_
_x000D_
- 강의 내용의 경우 ‘초등교사’를 대상으로 한 강의라기 보다는 ‘기업의 PPT 제작을 멋지게 꾸미는 사람’이 들어야 적절한 강의로 보입니다. 강의의 대부분(70% 정도)이 그래픽이나 글씨를 어떻게 아름답게 꾸미는지에 집중되어 있었으며, 교사들이 PPT에서 많이 쓰는 ‘애니메이션 기능’이나 ‘하이퍼링크’ 등의 강의 시간은 매우 짧았습니다._x000D_
_x000D_
- 강의 내용의 실습 예시로 제공된 것도 ‘일반 기업의 프리젠테이션’에 대비한 것으로, 수업이나 학급 경영과는 거의 관련이 없는 내용들이어서, 학교의 수업 현실에 적용할 수 있는 내용으로 강의가 구성되었으면 하는 바람입니다._x000D_
_x000D_
 - 강의 시간의 상당 부분이 강사분의 얼굴이 나오면서 설명이 이루어졌고, 실제 컴퓨터 화면을 보면서 ‘따라하기’는 대략적으로 이루어지거나 음악과 함께 빠르게 편집되는 경우가 있어 따라하기 어려운 부분이 있었습니다._x000D_
_x000D_
-  제공된 교안 내용이 매우 대략적이고 간단하게 나와서 내용적으로 큰 도움이 되지 못하고, 그나마도 pdf로 제공되어 교안의 수정이나 삽입이 매우 어려운 점이 아쉽습니다. 그리고 실습을 위해 제공된 ppt가 없는 강의가 많았습니다.",ICT,"75,000원",전체대상,1
알베르토가 함께 하는 핵심역량 연계 다문화 교육,30차시,2024-01-31,5,재미있게 배우는 다문화 교육,익숙한 강사님의 설명으로 집중하기 편했던 것 같습니다. 유용한 연수였습니다. ,생활지도,"75,000원",전체대상,1
"뭉크씨, 도파민 과잉입니다",15차시,2024-01-31,5,재밌어요~ ,재밌게 설명해주는 연수,자기계발,"50,000원",전체대상,1
"어서 와! 미국은 처음이지, 미국에서 만나는 우리가 몰랐던 미국 이야기",15차시,2024-01-31,5,유익했습니다.,모든 차시의 강의들이 부담스럽지 않은 주제를 다루어서 재밌게 보았습니다.,자기계발,"50,000원",전체대상,1
흔들리지 않는 교실을 위한 단호한 학급운영,30차시,2024-01-30,5,친절하지만 단호한 교사가 되기 위하여,"흔들리지 않는 단단한 학급 운영을 하고 싶어서 신청하게 되었습니다. 강사 선생님께서 본인의 노하우를 체계적이고 명확하게 알려주셔서 너무 유익했습니다. 특히, 문제 행동을 하는 학생들을 어떻게 지도해야하는지 팁을 주신 것들을 듣고 내년에는 꼭 적용해봐야겠다고 다짐했습니다. 학급 운영에 어려움을 겪는 신규 선생님들이나 내년도 학급 운영이 두려우신 쌤들에게 방학 연수로 추천합니다.^^",학급경영,"85,000원",유초등,1
"어서 와! 미국은 처음이지, 미국에서 만나는 우리가 몰랐던 미국 이야기",15차시,2024-01-30,5,미국에 관련된 생생한 정보와 지식,미국에 관련된 생생한 정보와 지식을 알려 주어서 감사합니다. 실제 경험에 도움이 되도록 살아있는 지식으로 활용하겠습니다.,자기계발,"50,000원",전체대상,1
"공간의 재발견, 정리의 힘",15차시,2024-01-30,5, 공간 정리하는 기술 익히기,"나만의 ,주부만의 공간을 실용적이고 깔끔하게 가꿀 수 있는 비법을 알려주어 감사합니다.",자기계발,"40,000원",전체대상,1
연수로 완성하는 아이스크림 수학 교과서(4학년),15차시,2024-01-30,5,재미있는 과학 수업,특수교육 대상 학생들 지도하는데 학생들에게 과학을 쉽고 재미있게 접근할 수 있는 다양한 방법을 얻었고 교수학습 연구에 많은 도움이 되었습니다.,교과지도,무료,유초등,1
연수로 완성하는 아이스크림 수학 교과서(3학년),15차시,2024-01-30,5,수학적 사고,특수교육 대상 학생들 지도하는데 학생들에게 수학을 쉽고 재미있게 접근할 수 있는 다양한 방법을 얻었고 교수학습 연구에 많은 도움이 되었습니다.,교과지도,무료,유초등,1
일본 현지 성우와 함께 배우는 마법의 360문장,30차시,2024-01-30,5,"유익하고, 추천합니다. ","일본어에 대한 어느 정도 이해가 있는 분이 들으면 아주 좋습니다. 일본 여행 전에 실력향상을 위해 들었는데, 여러가지 문장으로 연습해볼 수 있어서 좋았고 의외로 문법이 많이 나와 도움이 되었습니다. ",어학,"85,000원",전체대상,1
박진희와 함께 하는 교실 속 환경교육,30차시,2024-01-30,4,추천합니다.,"환경적인 내용은 좋으나, 계속 설명을 들어야하는 수업이라 피로도가 있습니다. 더 다양한 멀티 자료를 보여주면 좋겠습니다.",학습지도,"75,000원",전체대상,0
교사를 위한 구글 활용법(입문자편),15차시,2024-01-30,5,입문자들에게 추천합니다.,크롬북 활용 수업을 하고 싶은데 구글 클래스룸 등 구글 도구들에 대해 잘 모르는 경우 들으면 좋을 것 같습니다.,ICT,"40,000원",전체대상,1
5분 만에 끝내는 여행영어,7차시,2024-01-30,5,짧고 굵게^^,유익한 내용이 많아 도움이 많이 되었습니다 .,어학,무료,전체대상,1
"챗GPT와 함께하는 HTHT 미래 교육, 디지털리터러시를 높이는 인공지능(AI) 챗봇 제작 수업",15차시,2024-01-30,5,연수후기,유익한 내용이 많아 도움이 많이 되었습니다 . ,ICT,"50,000원",전체대상,1
꿈과 자존감이 자라는 교실 속 직업놀이 진로교육,30차시,2024-01-30,5,진로교육과 학급교육을 한번에,"학생들의 학교 생활에 동기부여를 주고, 책임감을 가지고 주체적이고 적극적인 학교 생활이 되도록 돕는 좋은 학급운영 방법이라고 생각합니다. 또, 진로교육에 있어서도 탁월한 방법이라고 생각합니다. ",학습지도,"75,000원",전체대상,1
EBS다큐프라임으로 배우는 생태전환교육,30차시,2024-01-29,5,패들렛과 띵커벨을 활용한 다양한 수업방법,패들렛과 띵커벨을 활용한 교과별 다양한 수업방법을 알려주셔서 유익했어요,학습지도,"75,000원",전체대상,1
Essential Grammar in Use(2),30차시,2024-01-29,5,너무 편안한 목소리의 연수이며 내용도 너무 만족스러워요.,"앨리 선생님의 편안한 목소리가 너무 영어학습에 도움이 된 연수였어요. 또한 꼭 알아야 할 문장들을 문법적인 요소를 과하지 않게 가미하였으며 평소에 왜 그런지 궁금햇던 문법들을 쉽게 알려주었어요._x000D_
3번 강좌까지 나왔으면 하는 바램입니다. _x000D_
교재를 구입하였으니 꼭 열심히 공부해서 말로도 술술 나오는 나의 문장으로 만들 각오가 되어있습니다. _x000D_
 여러 영어연수들 중 고민하여 선택하였는데 잘 선택한거 같습니다. 빨리 빨간영어책을 공부하고 싶네요. ",어학,"75,000원",전체대상,1
"몰입과 학습을 한 번에, 교실 속 게이미피케이션",15차시,2024-01-29,5,게이미피케이션 강추,"다양한 보드게임에 대한 설명을 자세하게 해주셔서 좋았고_x000D_
다양한 과목과 연계 응용하는 방법을 자세히 설명해주셔서 좋았습니다. ",학습지도,"50,000원",전체대상,1
소설 파친코와 썬킴의 한국근현대사,15차시,2024-01-29,5,너무 재미있는 연수라 다른 연수도 개설되면 좋겠어요.,"너무 재미있어서 하루만에 15차시를 모두 들어버렸어요. _x000D_
이렇게 몰입해서 들은 연수 정말 오랜만이에요. _x000D_
썬킴샘의 다른 연수도 개설된다면 또 들을 의향 1000%입니다._x000D_
덕분에 근현대사를 한번 더 정리할 수 있었고 미처 몰랐던 새로운 사실도 알 수 있었던 유익한 시간이었습니다. _x000D_
감사합니다.",교과지도,"50,000원",전체대상,1
두근두근! 1학년을 만나는 교사를 위한 한해살이 완벽 가이드 - 생활지도,15차시,2024-01-29,5,1학년 생활지도에 많은 도움이 되었습니다.,1학년 생활지도에  사례와 구체적인 방법을 제시해 주셔서 많은 도움이 되었습니다.,학습지도,"40,000원",유초등,1
"생각을 키우는 힘, 파이선 코딩 스쿨",30차시,2024-01-29,5,파이썬 필요한 연수,실습하는 파일 코드가 있었으면 하는 아쉬움이 있었습니다. 유익한 강의였습니다.,ICT,"75,000원",전체대상,1
흔들리지 않는 교실을 위한 단호한 학급운영,30차시,2024-01-29,5,행복한 교사 생활이 될 수 있도록 도와주는 연수,"신규교사로 고민도 많고, 어려운 학생들을 어떻게 지도해야 할지 막막함이 컸는데, 나도 할 수 있다는 자신감을 주는 연수였습니다. _x000D_
학생들을 지도하는 것이 결국에 나의 교사생활의 행복으로 이어진다는 것을 깨닫게 해준 좋은 연수입니다. _x000D_
좋은 선생님이 되도록 많이 노력하겠습니다.",학급경영,"85,000원",유초등,1
수업이 막막할 땐 성공 보장 수업 스킬,30차시,2024-01-29,5,역시 행복한 김선생님!!!,"랜선 동학년으로 항상 감사하고 존경하는 행복한 김선생님께서 연수를 개설하셨다는 소식에 방학을 맞아 신나게 연수를 들었습니다^^_x000D_
_x000D_
수업에 대한 고민들을 척척 해결해주시는 느낌의 연수였어요. 수업의 원칙, 온라인 도구, 보드게임, 놀이 활동 등 실제 수업 장면과 다양한 사례들도 알려주셔서 바로 적용할 수 있을 것 같아요! 수업에 대한 고민이 있는 선생님들이시라면 꼭 들어보세요!_x000D_
_x000D_
교재로 책도 구입할 수 있어 저는 함께 결제했습니다. 수업 계획할 때, 옆에 두고 보려고요^^ 좋은 연수 감사합니다~",학습지도,"85,000원",유초등,1
"핸드메이드 감성 소품, 리본공예",15차시,2024-01-29,5,"핸드메이드 감성 소품, 리본공예","일상에서 사용할 수 있는 리본공예에 대해 알아보는 시간을 가져보았습니다._x000D_
재료도 신청하여 만들기하니 편안하게 들을 수 있었습니다^^_x000D_
주변에 선물해줘야겠어요.",자기계발,"50,000원",전체대상,1
이보영의 바로 떠나는 왕초보 여행영어,30차시,2024-01-29,5,어학,잊고 있었던 실제 여행영어를 쉽고 빠르게 접근할 수 있도록 도움을 주셔서 감사합니다.,어학,"75,000원",전체대상,1
조병영의 문해력 수업,30차시,2024-01-29,5,국포학생들을 위한 자기 연찬,"남자고등학교에 근무하면서 국어를 가장 등한시하고 가장 먼저 포가하는 학생들이 늘어나서 문해력의 개념부터 차근차근 다시 생각해보고자 연수를 신청하였는데, 나 자신을 되돌아 보게 했던 연수였습니다. _x000D_
_x000D_
좋은 강의였습니다. ",학습지도,"75,000원",전체대상,1
단단한 내면의 힘을 기르는 지나영의 코어 마인드,15차시,2024-01-29,5,내면의 힘을 기르는 연수,나를 사랑하고 다른 사람을 사랑하는 방법을 알게해 준 좋은 연수입니다.,자기계발,"50,000원",전체대상,1
Let's AI 인공지능 교육 활용편,15차시,2024-01-29,5,좋은 연수,인공지능 교육에 대해 잘 알아볼 수 있었습니다.,학습지도,"40,000원",전체대상,1
"쉽게 쓰고, 소품으로 완성하는 캘리그래피",15차시,2024-01-29,5,다양한 수업에 적용,"쉽게 쓰고, 소품으로 완성되는 캘리 그래피 연수는 학교 현장에서 미술 수업 시의 글자 디자인 수업, 도덕 시간의 명언,가훈 쓰기 등 여러 과목에서 다양하게  적용 하여 할 수 있는 내용으로 많은 도움이 되었습니다._x000D_
특히 다양한 소품을 이용하여 활용할 수 있는 내용을 소개하고 있어  학생들이 흥미를 가지고 접근 할 수 있는 내용 이었습니다._x000D_
예시 자료를 제시 하여 현장에서 지도 시 적절한 자료로 활용할 수 있어 더욱더 큰 도움이 되었습니다. _x000D_
좀더 보완해야 할 점은 한글 뿐만 아니라 간단한 영어나 한자 디자인 활용 사례도 함께 제사시 되었으면 합니다.",자기계발,"40,000원",전체대상,1
"챗GPT와 함께하는 HTHT 미래 교육, 디지털리터러시를 높이는 인공지능(AI) 챗봇 제작 수업",15차시,2024-01-28,5,최고의 강의!,"생성형 AI 수업이 막막했는데, 듣고나니 너무 유용합니다!_x000D_
망설이지 말고 듣고 실천해보세요!!^^",ICT,"50,000원",전체대상,1
"엑셀의 신, 학교에서 쓰는 쉬운 엑셀",30차시,2024-01-28,5,유익한 엑셀 연수,엑셀의 기초부터 실무에서 많이 쓰이는 기능에 대한 연수로 도움이 많이 되었습니다.,ICT,"75,000원",전체대상,1
현아샘의 단단하고 따뜻한 그림책 학급운영,30차시,2024-01-28,5,그림책 연수,그림책을 통한 학급운영 방법을 배워보는 유익한 연수였습니다.,학급경영,"75,000원",유초등,1
핵심만 콕! 수업에 바로 쓰는 메타버스,15차시,2024-01-28,5,감동의 그림책 수업 ,별 기대없이 시작된 연수에서 진주를 발견한 느낌이랄까...? 피곤한 일상을 벗어나게 해 줄 수 있는 연수로 강추합니다.,학습지도,"40,000원",전체대상,1
하루 20분! 나만을 위한 '나마스떼' 힐링 요가,15차시,2024-01-28,5,나마스떼,요가 동작 배워두니 자기 전에 몸을 풀고 자게 되네요!,자기계발,"40,000원",전체대상,1
알면 편한 심리학 with 유미의 세포들,30차시,2024-01-28,5,힐링되는 강의 ,나를 알고 다른 사람을 이해하는데 도움이 되는 강의 였습니다~,자기계발,"75,000원",전체대상,1
부자 교사의 재테크,15차시,2024-01-28,5,재테크 문외한 교사들이 들어야 하는 연수~,"주식, 부동산, 연금에 관한 이야기로 평소 궁금했던 재테크에 관한 정보가 가득한 연수입니다. 2030교사들이 들으면 더욱 좋겠고~ _x000D_
4050교사들도 재테크에 관한 시야를 넓힐 수 있어 좋습니다. ~",자기계발,"50,000원",전체대상,1
큰별쌤 최태성의 별★별한국사,30차시,2024-01-28,5,역사를 왜 배워야 하는지 알게 해 주는 강의!,최태성선생님의 역사 강의는 역사를 왜 배워야 하는지를 알게 해 주는 알게 해주는 강의 입니다. 과거의 이야기를 통해 현재를 보고 미래를 준비하게 해 줍니다. 선생님이라면 모두 한 번 들어 볼 만한 ~ 시간이 훅~ 가는 강의!,교과지도,"75,000원",전체대상,1
전문가가 알려주는 창의 영재교육의 비법,30차시,2024-01-28,5,유익했습니다.,후반부로 갈수록 어려웠지만.. 앞에 10차시 정도는 재밌고 잘 들었습니다.,학습지도,"75,000원",전체대상,1
큰별쌤 최태성의 별★별한국사,30차시,2024-01-27,5,자녀와 함께 들었던 연수!,5학년 학생들 역사 학습을 조금 더 실감나고 체계적으로 가르칠 수 있게 될 것 같습니다. 덕분에 한국사의 흐름을 잘 익힐 수 있었던 계기가 되었습니다. 초등학생 자녀도 함께 들으면서 같이 공부하였습니다. 교재는 자녀가 읽어도 좋을 것 같아요. 여러모로 유용한 연수였습니다.,교과지도,"75,000원",전체대상,1
영어로 세계 속으로 with 내셔널 지오그래픽,15차시,2024-01-27,5,영어에 쉽게 접근할 수 있는 연수입니다.,초보자에게 발음 설명이 특히 자세하고 유익했습니다. 영어보다 한국어 설명이 훨씬 많아서 입문자들이 쉽게 접근할 수 있는 연수였습니다. 교재를 구입하는 게 수업을 듣기에 훨씬 좋았습니다. 근데 교재에서 듣게 되어 있는 영상을 수업에서 다 보여주는 게 아니어서 조금 아쉬웠습니다. 문제는 스스로 풀어볼 수 있어서 괜찮지만..,어학,"40,000원",전체대상,1
김성환 선생님과 함께 실천하는 학급긍정훈육법(PDC),30차시,2024-01-27,5,이해가 잘 되는 구체적 설명,연수가 재미있고 실용적입니다. 도움이 많이 되었습니다. ,학급경영,"75,000원",유초등,1
선생님을 위한 자산관리 '3원칙 7단계' 핵심 노하우,15차시,2024-01-26,5,따뜻한 팁이 있는 연수 ,"선생님은 놀이 전문가이신줄 알고 재미있는 것을 더 기대했었는데요._x000D_
심리 전문가로서 팁을 많이 알려주시고 남자 선생님이신데도 따뜻함을 많이 추구하시는 것 같아서 좋았습니다.",자기계발,"40,000원",전체대상,1
"민화, 복을 담아 그리는 우리 그림",15차시,2024-01-26,5,민화를 한땀한땀 그리며 힐링이 되는 연수,처음 접해보는 연수였지만 동영상 강의를 보면서 민화에 빠져 보는  유익한 연수였습니다.,자기계발,"50,000원",전체대상,1
탤짱쌤의 참 쉬운 글쓰기,15차시,2024-01-26,5,탤짱쌤의 참 쉬운 글쓰기,"탤짱쌤의 참 쉬운 글쓰기는 교사로서의 나를  다시 돌아보게 하는 연수였다. 우리는 대단한 사람들이었다. 우리는 수업과 생활을 통해 한 사람의 학생을 온전한 개인으로 성장시켜주고, 이 아이를 온전한 민주시민으로 성장시켜 우리나라의 근간을  지키기 위해 매일매일 고군분투하고 있기 때문이었다. 사실 짧은 연수 시간으로 많은것을 얻을 수 없어 좌절도 됐지만 글쓰기를 위한 작은 발걸음을 내딛은 나에게 응원의 박수를  쳐주고 싶다.",교과지도,"40,000원",전체대상,1
HOLA! 스페인어 첫걸음 - 기초완성,15차시,2024-01-26,5,스페인어 첫걸음  재미있게 잘 들었습니다,요즘 TV 프로에서 심심치않게 스페인에 대한 여행이나 스페인언어 사용국가에 대해서 보면서 스페인에 더욱더 관심을 갖게 되었는데 처음 도전해보는거라서 걱정을 많이 했는데 재미있게 강의 잘들었습니다. 좋아요^^,어학,"40,000원",전체대상,1
